Name,Number of Carbon Atoms,Molecular Formula,Condensed Structural Formula,Boiling_Point_C,Boiling_Point_K,SMILES,LogP,Molecular Weight,Num Carbon Atoms,Total Atoms,Bond Count,LogP Description,Molecular Weight Description,Num Carbon Atoms Description,Total Atoms Description,Bond Count Description
Methane,1,CH₄,CH₄,-162,111.15,C,0.6361,16.031300127999998,1,1,0,Octanol-Water Partition Coefficient,Mass of one molecule of the substance,Number of carbon atoms in the molecule,Total number of atoms in the molecule,Number of bonds in the molecule
Ethane,2,C₂H₆,CH₃CH₃,-89,184.15,CC,1.0262,30.046950192,2,2,1,Octanol-Water Partition Coefficient,Mass of one molecule of the substance,Number of carbon atoms in the molecule,Total number of atoms in the molecule,Number of bonds in the molecule
Propane,3,C₃H₈,CH₃CH₂CH₃,-42,231.15,CCC,1.4163,44.062600255999996,3,3,2,Octanol-Water Partition Coefficient,Mass of one molecule of the substance,Number of carbon atoms in the molecule,Total number of atoms in the molecule,Number of bonds in the molecule
Butane,4,C₄H₁₀,CH₃(CH₂)₂CH₃,0,273.15,CCCC,1.8064,58.078250319999995,4,4,3,Octanol-Water Partition Coefficient,Mass of one molecule of the substance,Number of carbon atoms in the molecule,Total number of atoms in the molecule,Number of bonds in the molecule
Pentane,5,C₅H₁₂,CH₃(CH₂)₃CH₃,36,309.15,CCCCC,2.1965000000000003,72.093900384,5,5,4,Octanol-Water Partition Coefficient,Mass of one molecule of the substance,Number of carbon atoms in the molecule,Total number of atoms in the molecule,Number of bonds in the molecule
Hexane,6,C₆H₁₄,CH₃(CH₂)₄CH₃,69,342.15,CCCCCC,2.5866000000000007,86.109550448,6,6,5,Octanol-Water Partition Coefficient,Mass of one molecule of the substance,Number of carbon atoms in the molecule,Total number of atoms in the molecule,Number of bonds in the molecule
Heptane,7,C₇H₁₆,CH₃(CH₂)₅CH₃,98,371.15,CCCCCCC,2.976700000000002,100.12520051199999,7,7,6,Octanol-Water Partition Coefficient,Mass of one molecule of the substance,Number of carbon atoms in the molecule,Total number of atoms in the molecule,Number of bonds in the molecule
Octane,8,C₈H₁₈,CH₃(CH₂)₆CH₃,126,399.15,CCCCCCCC,3.3668000000000022,114.14085057599999,8,8,7,Octanol-Water Partition Coefficient,Mass of one molecule of the substance,Number of carbon atoms in the molecule,Total number of atoms in the molecule,Number of bonds in the molecule
Nonane,9,C₉H₂₀,CH₃(CH₂)₇CH₃,151,424.15,CCCCCCCCC,3.7569000000000026,128.15650064,9,9,8,Octanol-Water Partition Coefficient,Mass of one molecule of the substance,Number of carbon atoms in the molecule,Total number of atoms in the molecule,Number of bonds in the molecule
Decane,10,C₁₀H₂₂,CH₃(CH₂)₈CH₃,174,447.15,CCCCCCCCCC,4.147000000000004,142.172150704,10,10,9,Octanol-Water Partition Coefficient,Mass of one molecule of the substance,Number of carbon atoms in the molecule,Total number of atoms in the molecule,Number of bonds in the molecule
